cnms,frequency,total_salecs
Direct sales channels,8,10010.497
Energy & Resources,8,10006.343
Central,17,9980.502
Aerospace and Defense OEM Customers,8,9964.521
Electrical contractors,4,9958.11
OEM aluminum wheels,8,9957.386
Private Wealth Management,11,9952.425000000001
Retail-Commercial,8,9860.342
Metals and Minerals,9,9809.856
Commercial customers,7,9769.31
Idaho,142,9749.551
Israel,141,9729.913
Private Customers,14,9697.882
Industrial Machinery and Equipment Manufacturers a,12,9671.846
Southwest.com,1,9650.76
Washington,6,9605.45
Metal fabrication and machine shops,9,9563.009
Automotive OEM/Tiers,5,9535.81
Municipal,5,9530.331
Drive-thru,10,9445.616
Midland Basin,6,9444.556
Federal Government,54,9435.15
"Europe, Russia, Central Asia",3,9430.8
"Banking, Financial Services and Insurance",5,9393.043
40 Customers,5,9376.710000000001
Critical Infrastructure,2,9351.362000000001
Store and franchise,1,9332.0
Online Sales,8,9323.268
Console,4,9319.0
Renewals,9,9314.0
Residential - Default Electricity Supply,6,9290.0
Other  U.S. Department of Defense,4,9253.960000000001
Market for aftermarket,2,9219.13
"Brazil, Argentina, Mexico and Chile",4,9191.489
Party City stores,6,9165.072
175 Customers,7,9135.639
Homebuyers,7,9122.113
Other Established Markets,4,9106.0
Reyes Beer,4,9091.509
Other US Defense,4,9075.176
Original Equipment Manufactures,3,9066.8
New Construction,20,9034.749
Asia/Oceania,4,9012.780999999999
Crossovers and SUVs,1,9005.48
Networking/Communications,17,8983.142
Company-Operated Retail,1,8963.5
U.S. Tissue Market,10,8889.643
BMO Global Asset Management,9,8889.633
Private and Other Sources,11,8831.401
All Other United States and Puerto Rico,10,8818.894
Amerisourcebergen Corp,5,8741.141
Direct Customers,23,8734.269
Private Label Retail,12,8728.989
Retail Electric and Gas,2,8725.0
U.S. Government Agencies,11,8703.625
Power Generation,3,8690.900000000001
Northern California,46,8687.015
SHELL OIL CO,6,8680.072
Technology,26,8667.552
All other countries,11,8634.07
Non-Residential RMI,3,8603.914999999999
Petroleo Brasileiro S.A.- Petrobras,61,8598.966
Railcars (excluding boxcars),11,8588.9
Firm transportation,14,8572.0
South Carolina,162,8565.264000000001
Energy Marketing,7,8543.6
Post-Paid,8,8532.943
Dealer sales,7,8516.8
"Federal, State and Local Government Agencies",5,8500.0
Products,1,8467.0
Firm Transportation-Gas,15,8464.0
Individuals,3,8444.719000000001
