gvkey,sector
039734,35
039756,25
039782,35
039805,45
039806,35
039811,25
039815,20
039818,25
039820,25
039822,45
039823,25
039863,35
039869,35
039872,35
039877,30
039907,35
039941,35
039954,50
039961,25
039962,50
040224,10
040236,35
040248,60
040285,20
040305,20
040306,10
040383,10
040417,60
040460,45
040492,30
040605,35
040610,35
040645,20
041050,35
041426,50
041502,45
041507,25
041545,35
041615,35
041640,25
041687,40
041797,10
041818,35
041835,20
041878,35
041953,35
041995,25
041996,20
042033,20
042332,20
042895,40
042984,35
042987,30
043057,25
043113,25
043137,35
043236,30
043285,45
043363,45
043385,35
043439,25
043507,10
043521,60
043524,25
043792,35
043843,35
045081,25
045169,20
045232,20
045265,20
045319,20
045351,25
045388,35
045445,60
045461,50
045542,10
045686,20
045711,35
045775,30
045785,35
045802,20
050297,20
050389,60
050517,35
050619,60
050682,35
050688,20
050721,60
050763,35
051058,20
051139,45
051497,35
051654,20
051747,20
060707,45
060800,50
060801,45
060839,25
060846,45
060900,50
060923,25
060979,20
061028,45
061030,45
061034,10
061061,35
061077,45
061163,60
061179,20
061188,60
061214,45
061236,10
061285,40
061321,45
061325,35
061350,45
061399,35
061407,20
061408,40
061409,10
061420,25
061439,45
061448,35
061483,35
061487,40
061490,35
061494,35
061513,45
061552,45
061562,45
061567,30
061572,45
061584,35
061587,45
061591,45
061596,15
061600,35
061616,10
061646,45
061655,35
061676,45
061685,45
061703,35
061711,35
061712,45
061725,45
061739,40
061745,35
061759,10
061880,30
061903,45
061971,10
062055,35
062088,25
062168,35
062169,35
062217,45
062221,20
062263,35
062266,20
062268,20
062374,60
062382,35
062388,45
062399,45
062475,35
062549,45
062592,35
062597,45
062626,10
062655,30
062686,10
062723,45
062745,25
062823,20
062826,35
062921,35
062967,35
062977,35
062984,15
063000,20
063005,35
063018,35
063030,35
063099,45
063138,40
063186,35
063291,35
063405,35
063447,25
063490,35
063495,20
063501,40
063520,45
063531,45
063562,35
063605,55
063639,40
063640,45
063643,25
063645,35
063650,35
063671,30
063700,35
063789,35
063790,35
063847,25
063866,35
063876,20
063914,20
063919,45
063927,30
063938,45
063986,45
064004,35
064021,45
064055,20
064061,20
064063,10
064088,45
064102,30
064163,20
064165,45
064166,35
064194,40
064275,30
064302,20
064306,60
064327,35
064334,35
064346,45
064355,20
064356,45
064410,25
064480,45
064515,35
064549,20
064552,40
064568,10
064620,45
064630,50
064637,45
064690,25
064708,30
064766,45
064767,35
064768,25
064794,40
064821,60
064848,15
064853,45
064857,35
064891,25
064896,25
064901,20
064915,45
064925,60
064942,45
065006,10
065009,10
065011,35
065026,25
065036,45
065084,20
065105,30
065108,60
065220,10
065248,15
065270,45
065286,45
065290,60
065343,30
065378,15
065380,20
065399,20
065413,45
065417,25
065421,45
065430,25
065461,25
065527,45
065554,45
065590,25
065609,20
065640,60
065662,50
065671,10
065675,20
065676,45
065697,25
065710,60
065717,40
065718,25
065739,45
065765,25
065771,35
065831,25
065904,45
065905,35
065944,35
065967,35
065986,45
065991,35
066032,45
066060,35
066061,20
066228,10
066354,60
066366,35
066393,20
066446,20
066515,10
066588,35
066602,20
066683,35
066686,45
066697,35
066708,45
066731,40
066871,20
074628,20
100075,20
100243,15
100245,45
100338,20
100363,10
100418,35
100572,25
100644,20
100699,25
100718,35
101204,35
101276,25
101310,35
101317,35
101352,45
102422,15
102696,45
103487,45
105346,45
105365,60
105936,25
106100,35
106418,10
106574,15
106687,25
107446,45
107755,10
108345,40
108645,10
108693,30
108831,20
110039,45
110179,60
110382,60
110685,20
110728,35
110802,20
111103,25
111873,25
111880,45
112034,20
112095,45
112158,45
112754,35
112759,10
112774,45
112876,10
112968,30
113139,45
113362,45
113419,45
113490,60
113530,20
114203,45
114209,45
114484,50
114524,25
114628,40
115044,55
115831,45
116029,10
116166,45
116772,40
117115,45
117116,35
117142,35
117768,45
117829,35
117861,25
117903,40
118081,35
118122,25
118795,10
118941,50
119173,50
119275,45
119314,25
119316,20
119493,45
119574,45
119617,35
120093,10
120334,45
120359,50
120458,45
120774,45
120794,10
120816,45
120820,UNKNOWN
120877,30
121077,45
121142,25
121153,45
121257,40
121382,60
121440,35
121713,40
121718,45
121759,45
121815,40
122197,10
122211,25
122257,35
122266,15
122536,45
122678,25
122841,45
122902,45
122915,10
122916,35
123016,45
124036,45
124046,60
124049,45
124394,45
124434,40
124617,25
125274,45
125360,45
125595,45
125601,50
125604,20
126020,45
126056,20
126136,50
126296,25
126318,45
126417,45
126423,45
126434,45
127094,50
127234,35
128978,15
129466,35
129469,45
130762,45
132518,45
132758,45
133104,50
133288,45
133304,45
133346,45
133367,30
133432,45
133468,35
133504,35
133547,45
133724,35
133726,45
133766,35
133767,25
133768,40
133825,45
133868,35
133871,35
133885,35
133944,45
133945,45
134044,50
134384,45
134932,45
135044,45
135788,45
135844,20
135965,45
