gvkey,conm,tic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001170,ADVANCED TELECOMMUN-OLD,ATEL.,C,00X,LC,11149,6737,1983-12-21,1984-01-30
001171,ADVANCED TELECOMMUNICATIONS,ATEL.1,P,01,LC,11149,6737,1985-07-31,1992-12-04
001172,ADV PROFESSIONAL SALES-OLD,APSI.1,C,01,LC,15916,321,1983-06-24,1985-09-29
001172,ADV PROFESSIONAL SALES-OLD,APSI.1,C,01,LC,15916,321,1986-07-10,1986-12-31
001173,AEROSONIC CORP,AIM.1,C,00X,LU,11157,376,1973-02-01,1975-02-27
001173,AEROSONIC CORP,AIM.1,C,01,LU,11157,376,1975-02-28,2013-06-28
001174,AEROTRON INC,AERO.1,C,01,LC,11165,22254,1972-12-14,1979-12-31
001175,AEROVOX CORP,AVX.2,P,01,LU,44396,24752,1967-05-03,1973-05-31
001177,AETNA INC,AET,P,01,LC,46850,20026,1968-09-24,2000-12-13
001177,AETNA INC,AET,P,01,LC,88845,41072,2000-12-14,2018-11-30
001178,AFFILIATED BANKSHARES COLO,AFBK.,P,01,LU,11173,94,1974-01-31,1992-11-30
001178,AFFILIATED BANKSHARES COLO,AFBK.,C,00X,LU,11173,94,1974-01-01,1974-01-30
001179,AFFILIATED CAPITAL CORP,AFD,C,00X,LU,52310,25242,1974-01-01,1978-01-30
001179,AFFILIATED CAPITAL CORP,AFD,P,01,LU,52310,25242,1978-01-31,1982-01-29
001180,AFFILIATED HOSPITAL PRODS,AFH.1,P,01,LU,50569,25134,1970-05-14,1985-02-21
001181,AFFILIATED PUBNS,AFP.1,P,01,LC,57349,25566,1973-08-09,1989-05-31
001181,AFFILIATED PUBNS,AFP.1,P,01,LC,75618,22086,1989-06-08,1993-10-01
001182,AFTER SIX INC,TUX.1,P,01,LU,57613,25577,1972-12-14,1984-09-28
001183,IDNA INC,IDAI.,P,01,LC,11181,6059,1983-06-08,1998-03-09
001184,AGGIE OIL CO,AGGY.1,P,01,LC,11200,114,1981-09-11,1984-01-26
001186,AGNICO EAGLE MINES LTD,AEM,P,01,LC,78223,26174,1982-11-01,E
001188,AGOIL INC-OLD,AGOLC,P,01,LU,11229,10132,1981-04-06,1983-05-31
001192,AGUIRRE CO,AGG.2,C,00X,LU,17232,22758,1949-08-01,1962-01-30
001192,AGUIRRE CO,AGG.2,P,01,LU,17232,22758,1962-01-31,1978-12-08
