gvkey,conm,tic,datadate,fyear,gsector,ggroup,gind,gsubind,naics,sic,naics2,naics3,sic2,sic4
022025,NEW SENIOR INVESTMENT GROUP,SNR,2020-12-31,2020,60,6010,601010,60101050,531110,6798,53,531,67,6798
022037,SIENTRA INC,SIENQ,2022-12-31,2022,35,3510,351010,35101020,339113,3842,33,339,38,3842
022039,SYNEOS HEALTH INC,SYNH,2022-12-31,2022,35,3520,352030,35203010,054171,8731,05,054,87,8731
022053,CONTANGO OIL & GAS CO,MCF,2020-12-31,2020,10,1010,101020,10102020,002111,1311,00,002,13,1311
022059,INTEGRAL SYSTEMS INC,ISYS,2010-09-30,2010,45,4510,451020,45102010,541512,7373,54,541,73,7373
022124,LANDMARK INFRAST PRTNS LP,LMRK,2020-12-31,2020,60,6010,601020,60102020,531190,6519,53,531,65,6519
022134,AXALTA COATING SYSTEMS LTD,AXTA,2025-12-31,2025,15,1510,151010,15101050,325510,2851,32,325,28,2851
022165,ON DECK CAPITAL INC,ONDK,2019-12-31,2019,40,4020,402010,40201040,522298,6159,52,522,61,6159
022168,UNIROYAL GLOBAL ENGINEERED,UNIR,2021-12-31,2021,25,2520,252030,25203030,313320,2200,31,313,22,2200
022178,HORTONWORKS INC,HDP,2017-12-31,2017,45,4510,451030,45103010,511210,7372,51,511,73,7372
022180,UNIQUE FABRICATING INC,UFABQ,2021-12-31,2021,25,2510,251010,25101010,336390,3714,33,336,37,3714
022205,K-SWISS INC  -CL A,KSWS,2012-12-31,2012,25,2520,252030,25203020,316210,3140,31,316,31,3140
022207,TRUEBLUE INC,TBI,2025-12-31,2025,20,2020,202020,20202010,561320,7363,56,561,73,7363
022229,HISTOGENICS CORP,HSGX,2018-12-31,2018,35,3520,352010,35201010,339113,3842,33,339,38,3842
022230,JUNO THERAPEUTICS INC,JUNO,2017-12-31,2017,35,3520,352010,35201010,325414,2836,32,325,28,2836
022260,HCA HEALTHCARE INC,HCA,2025-12-31,2025,35,3510,351020,35102020,622110,8062,62,622,80,8062
022284,SMART SAND INC,SND,2025-12-31,2025,10,1010,101010,10101020,212322,1400,21,212,14,1400
022318,RELIANCE GLOBAL GROUP INC,EZRA,2025-12-31,2025,40,4030,403010,40301010,524210,6411,52,524,64,6411
022325,XILINX INC,XLNX,2021-03-31,2020,45,4530,453010,45301020,334413,3674,33,334,36,3674
022362,1847 HOLDINGS LLC,LBRA,2024-12-31,2024,20,2010,201050,20105010,337110,5712,33,337,57,5712
022405,BRIXMOR OPERATING PRTNRS LP,BRX1,2025-12-31,2025,60,6010,601070,60107010,531120,6798,53,531,67,6798
022439,CURO GROUP HLDGS CORP,CUROQ,2023-12-31,2023,40,4020,402020,40202010,522291,6141,52,522,61,6141
022459,URBAN EDGE PROPERTIES,UE,2025-12-31,2025,60,6010,601070,60107010,531120,6798,53,531,67,6798
022583,GMS INC,GMS,2025-04-30,2024,20,2010,201070,20107010,004233,5030,00,004,50,5030
022590,PALVELLA THERAPEUTICS INC,PVLA,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
022604,ASCENDIS PHARMA AS,ASND,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
022632,LANNETT CO INC,LCINQ,2022-06-30,2022,35,3520,352020,35202010,325412,2834,32,325,28,2834
022653,VISTA OUTDOOR INC,VSTO,2024-03-31,2023,25,2520,252020,25202010,033299,3480,03,033,34,3480
022674,EASTERLY GOVERNMENT PPTYS,DEA,2025-12-31,2025,60,6010,601040,60104010,531120,6798,53,531,67,6798
022697,TRACON PHARMACEUTICALS INC,TCON,2023-12-31,2023,35,3520,352010,35201010,325414,2836,32,325,28,2836
022709,SPARK THERAPEUTICS INC,ONCE,2018-12-31,2018,35,3520,352010,35201010,325414,2836,32,325,28,2836
022731,PATRIOT TRANSPORTATION HLDG,PATI,2023-09-30,2023,20,2030,203040,20304030,484230,4213,48,484,42,4213
022734,BAXALTA INC,BXLT,2015-12-31,2015,35,3520,352010,35201010,325414,2836,32,325,28,2836
